Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
15/07/2021,11:22:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:23:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:24:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:25:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:26:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:27:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:28:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:29:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:30:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:31:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:32:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:33:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:34:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:35:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:36:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:37:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:38:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:39:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:40:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:41:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:42:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:43:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:44:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:45:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:46:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:47:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:48:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:49:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:50:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:51:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:52:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:53:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:54:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:55:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:56:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:57:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:58:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,11:59:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:00:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:01:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:02:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:03:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:04:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:05:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:06:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:07:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:08:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:09:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:10:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:11:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:12:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:13:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:14:00,"0","5","11","0","0","0","0","60","0","12,08"
15/07/2021,12:15:00,"16","15","67","1","0","0","0","60","0","70,5"
15/07/2021,12:16:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:17:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:18:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:19:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:20:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:21:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:22:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:23:00,"7","7","10","0","0","0","0","60","0","14,07"
15/07/2021,12:24:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:25:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:26:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:27:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:28:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:29:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:30:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:31:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:32:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:33:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:34:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:35:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:36:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:37:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:38:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:39:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:40:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:41:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:42:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:43:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:44:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:45:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,12:46:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:47:00,"16","25","37","0","41","0","0","60","0","47,43"
15/07/2021,12:48:00,"201","254","456","5","50","0","0","60","0","559,33"
15/07/2021,12:49:00,"98","185","285","5","0","0","0","60","0","353,63"
15/07/2021,12:50:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:51:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,12:52:00,"174","179","178","7","23","0","0","60","0","306,6"
15/07/2021,12:53:00,"106","137","187","6","0","0","0","60","0","254,9"
15/07/2021,12:54:00,"69","106","256","1","0","0","0","60","0","285,54"
15/07/2021,12:55:00,"62","114","145","4","0","0","0","60","0","194,59"
15/07/2021,12:56:00,"234","271","256","11","122","0","0","60","0","440,15"
15/07/2021,12:57:00,"81","81","40","2","0","0","0","60","0","121,33"
15/07/2021,12:58:00,"114","134","178","3","0","0","0","60","0","250,27"
15/07/2021,12:59:00,"5","22","34","1","0","0","0","60","0","40,8"
15/07/2021,13:00:00,"85","162","163","3","0","0","0","60","0","245,03"
15/07/2021,13:01:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,13:02:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,13:03:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,13:04:00,"0","0","0","0","0","0","0","60","0","0"
15/07/2021,13:05:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:06:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:07:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:08:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:09:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:10:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:11:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:12:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:13:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:14:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:15:00,"0","0","0","0","0","60","0","0","0","0"
15/07/2021,13:16:00,"0","0","0","0","0","60","0","0","0","0"
